authors,year_published,title,entity_id,entity,theme,type,spatial_scale,time_slice,latitude,longitude,is_published,raw_data_available,DOI_paper,DOI_data,URL,Who
Dommain et al.,2020,"The Challenges of Reconstructing Tropical Biodiversity With Sedimentary Ancient DNA: A 2200-Year-Long Metagenomic Record From Bwindi Impenetrable Forest, Uganda","Dommain et al. 2020. The Challenges of Reconstructing Tropical Biodiversity With Sedimentary Ancient DNA: A 2200-Year-Long Metagenomic Record From Bwindi Impenetrable Forest, Uganda",forest; aquatic; peat bog,paleoecology,study_case,local,pre-colonial,-1.03,29.69,Yes,Yes,10.3389/fevo.2020.00218,,,
Bremond et al. ,2017,Five thousand years of tropical lake sediment DNA records from Benin,Bremond et al. 2017. Five thousand years of tropical lake sediment DNA records from Benin,forest; limnic,paleoecology,study_case,local,pre-colonial,7.16,2.44,Yes,Yes,10.1016/j.quascirev.2017.06.025,,,
Boessenkool et al. ,2014,Use of Ancient Sedimentary DNA as a Novel Conservation Tool for High-Altitude Tropical Biodiversity,Boessenkool et al. 2014. Use of Ancient Sedimentary DNA as a Novel Conservation Tool for High-Altitude Tropical Biodiversity,montane forest; limnic,paleoecology,study_case,local,pre-colonial,-1.39,29.65,Yes,Yes,10.1111/cobi.12195,,,
Benito et al.,2019,Lake regionalization and diatom metacommunity structuring in tropical South America,Benito et al. Colombia lowland lakes,tropical rainforest; lake,limnology,dataset,regional,modern,5.85,-74.25,Yes,Yes,,https://doi.org/10.5061/dryad.6jk8h77,,Xavier Benito
Benito et al.,2019,Lake regionalization and diatom metacommunity structuring in tropical South America,Benito et al. Bolivia Pantanal,tropical savanna; lake,limnology,dataset,regional,modern,-16.2,-60.47,Yes,Yes,,https://doi.org/10.5061/dryad.6jk8h77,,Xavier Benito
Benito et al.,2019,Lake regionalization and diatom metacommunity structuring in tropical South America,Benito et al. Peruvian Amazon,Amazonian forest; lake,limnology,dataset,regional,modern,-12.04,-71.2,Yes,Yes,,https://doi.org/10.5061/dryad.6jk8h77,,Xavier Benito
Benito et al.,2019,Lake regionalization and diatom metacommunity structuring in tropical South America,Benito et al. Bolivian Amazon,Amazonian forest; lake,limnology,dataset,regional,modern,-16.6,-65.15,Yes,Yes,,https://doi.org/10.5061/dryad.6jk8h77,,Xavier Benito
Whitney et al. ,2011,A 45kyr palaeoclimate record from the lowland interior of tropical South America,Whitney et al. 2011. A 45kyr palaeoclimate record from the lowland interior of tropical South America,tropical savanna; lake,paleoecology,study_case,local,pre-human,-17.78,-57.72,Yes,No,10.1016/j.palaeo.2011.05.012,,,Xavier Benito
Brugger et al. ,2016,Long-term man–environment interactions in the Bolivian Amazon: 8000 years of vegetation dynamics,"Bolivia,riparian forest",Amazonia forest; lake,paleoecology,study_case,regional,pre-colonial,-13,-65.99,Yes,Yes,10.1016/j.quascirev.2015.11.001,,,
Lawrence et al. ,2020,An open-source database for the synthesis of soil radiocarbon data: International Soil Radiocarbon Database (ISRaD) version 1.0,Soil radiocarbon ,terrestrial ecosystems,"paleoecology, paleopedology",review,global,pre-human,,,Yes,Yes,https://essd.copernicus.org/articles/12/61/2020/,,https://soilradiocarbon.org/,
Roy et a. ,2015,Development of Decadal (1985–1995–2005) Land Use and Land Cover Database for India ,Indian LULC,Indian terrestrial ecosystems ,"Ecology, social",review,regional,modern,22.45,79.31,Yes,Yes,10.3390/rs70302401,,,
Harris et al. ,2021,Global maps of twenty-first century forest carbon fluxes,Forest carbon flux,Global forests carbon flux,Ecology,review,global,modern,,,Yes,Yes,10.1038/s41558-020-00976-6,,,
Hansen et al.,2013,High-Resolution Global Maps of 21st-Century Forest Cover Change,Forest cover change,Global forests cover ,Ecology,review,global ,modern,,,Yes,Yes,10.1126/science.1244693,,,
Jian et al.,2021,A restructured and updated global soil respiration database (SRDB-V5) ,Soil respiration,terrestrial ecosystems,Ecology,review,global,modern,,,Yes,Yes,10.5194/essd-13-255-2021,,,
Kulkarni et al.,2021,Synergistic impacts of anthropogenic fires and aridity on plant diversity in the Western Ghats: Implications for management of ancient social-ecological systems,"Western Ghats, India","Tropical rainforest, swamp",Paleoecology; archaeology,study_case,regional,modern; pre-colonial; pre-historic (~0-8 kyr BP),12.15,75.7,Yes,Yes,https://doi.org/10.1016/j.jenvman.2021.111957,In the upload stage (Will make it happen soon),https://www.sciencedirect.com/science/article/pii/S0301479721000190,
Aleman et al. ,2019,Palaeo-trajectories of forest savannization in the southern Congo,Aleman et al. 2019. Palaeo-trajectories of forest savannization in the southern Congo,forest-savanna transition; lake,Paleoecology,dataset,local,pre-colonial,-3.8,14.8,Yes,Yes,https://doi.org/10.1098/rsbl.2019.0284,https://doi.org/10.5061/dryad.jq1f218,,
Pupim et al. ,2019,Chronology of Terra Firme formation in Amazonian lowlands reveals a dynamic Quaternary landscape,Pupim et al 2019 Chronology of Terra Firme formation in Amazonian lowlands reveals a dynamic Quaternary landscape,Amazonian landscape; fluvial terraces,Geomorphology,dataset,regional,late Quaternary,-3,-65,Yes,Yes,https://doi.org/10.1016/j.quascirev.2019.03.008,https://doi.org/10.1016/j.quascirev.2019.03.008,,
Asner et al. ,2021,Global Airborne Observatory: Forest Canopy Height and Carbon Stocks of Panama,Asner et al 2021. Global Airborne Observatory: Forest Canopy Height and Carbon Stocks of Panama,terrestrial ecosystems,Ecology,review,regional,modern,9.14,-79.87,Yes,Yes,https://zenodo.org/record/4624240#.YFhpBq9KiUk,,,
Zimmerman et al. ,2001,"Conservation and development alliances with the Kayapó of south-eastern Amazonia, a tropical forest indigenous people","Zimmerman et al., 2001",Indigenous Territories,community-conservation partnerships,study_case,regional,modern,-7.12,-52.41,Yes,,10.1017/S0376892901000029 ,,,
Schwartzman et al.,2013,The natural and social history of the indigenous lands and protected areas corridor of the Xingu River basin,"Schwartzman et al., 2013",Indigenous Territories,community-conservation partnerships,,,modern,-7.75,-51.91,,,https://doi.org/10.1098/rstb.2012.0164,,,
Akesson et al.,2020,"2,100 years of human adaptation to climate change in the High Andes","Akesson et al 2020 Nat Eco Evo. 2,100 years of human adaptation to climate change in the High Andes",Montane forest,Paleoecology; archaeology,study_case,local,pre-colonial; colonial; modern,-6.85,-77.7,Yes,No,http://dx.doi.org/10.1038/s41559-019-1056-2,,,Oliver Wilson
Loughlin et al. ,2018,Ecological consequences of post-Columbian indigenous depopulation in the Andean–Amazonian corridor,Loughlin et al 2018 Nat Eco Evo. Ecological consequences of post-Columbian indigenous depopulation in the Andean–Amazonian corridor,Montane forest,Paleoecology; history,study_case,local,pre-human; pre-colonial; colonial; modern,-0.42,-78.02,Yes,No,https://doi.org/10.1038/s41559-018-0602-7,,,Oliver Wilson
Levis et al. ,2018,How People Domesticated Amazonian Forests,Levis et al 2018 Front Eco Evo. How People Domesticated Amazonian Forests,Tropical rainforest (Amazonia),Ecology; social,theory; study_case,regional,pre-colonial; modern,,,Yes,No,https://doi.org/10.3389/fevo.2017.00171,,,Oliver Wilson
Maezumi et al. ,2018,"The legacy of 4,500 years of polyculture agroforestry in the eastern Amazon","Maezumi et al 2018 Nat Plants. The legacy of 4,500 years of polyculture agroforestry in the eastern Amazon",Tropical rainforest (Amazonia),Paleoecology; archaeology; ecology,study_case,local,pre-colonial; colonial; modern,-2.82,-55.05,Yes,No,https://doi.org/10.1038/s41477-018-0205-y,,,Oliver Wilson
Kelly et al. ,2018,Continuous human presence without extensive reductions in forest cover over the past 2500 years in an aseasonal Amazonian rainforest,Kelly et al 2018 JQS. Continuous human presence without extensive reductions in forest cover over the past 2500 years in an aseasonal Amazonian rainforest,Tropical rainforest (Amazonia),Paleoecology; archaeology,study_case,local,pre-colonial; colonial; modern,-3.83,-73.32,Yes,No,https://doi.org/10.1002/jqs.3019,,,Oliver Wilson
Mayle and Iriarte ,2014,Integrated palaeoecology and archaeology e a powerful approach for understanding pre-Columbian Amazonia,Mayle & Iriarte 2014 JAS. Integrated palaeoecology and archaeology e a powerful approach for understanding pre-Columbian Amazonia,Tropical rainforest (Amazonia),Paleoecology; archaeology,theory; methods,regional; global,pre-colonial; colonial; modern,,,Yes,,https://doi.org/10.1016/j.jas.2012.08.038,,,Oliver Wilson
Aleman et al. ,2020,Floristic evidence for alternative biome states in tropical Africa,Aleman et al 2020 PNAS. Floristic evidence for alternative biome states in tropical Africa,"Tropical rainforest (Central Africa), Savanna",Paleoecology; ecology,study_case,continental,modern,,,Yes,No,https://doi.org/10.1073/pnas.2011515117,,,Oliver Wilson
Aleman et al. ,2018,Forest extent and deforestation in tropical Africa since 1900,Aleman et al 2018 Nat Eco Evo. Forest extent and deforestation in tropical Africa since 1900,"Tropical rainforest (Central Africa), Savanna",Paleoecology; ecology,study_case,continental,colonial; modern,,,Yes,No,https://doi.org/10.1038/s41559-017-0406-1,,,Oliver Wilson
Whitney et al. ,2019,Constraining pollen-based estimates of forest cover in the Amazon: A simulation approach,Whitney et al 2019 The Holocene. Constraining pollen-based estimates of forest cover in the Amazon: A simulation approach,"Tropical rainforest (Amazonia), Savanna",Palaeoecology,theory; methods; study_case,regional,modern,-14,-64,Yes,No,https://doi.org/10.1177/0959683618810394,,,Oliver Wilson
McMichael et al. ,2014,Bamboo-dominated forests and pre-Columbian earthwork formations in south-western Amazonia,McMichael et al 2014 J Biogeogr. Bamboo-dominated forests and pre-Columbian earthwork formations in south-western Amazonia,"Tropical rainforest (Amazonia), Savanna","Ecology, archaeology",study_case,regional,modern,,,Yes,No,https://doi.org/10.1111/jbi.12325,,,Oliver Wilson
Santos et al. ,2018,Detecting human presence and influence on neotropical forests with remote sensing,Santos et al 2018 Remote Sensing. Detecting human presence and influence on neotropical forests with remote sensing,Tropical rainforest,"Ecology, archaeology",methods,"regional, global",modern,,,Yes,,https://doi.org/10.3390/rs10101593,,,Oliver Wilson
