authors,year_published,title,entity_id,subrealm,entity,ecosystem,proxy,indicator,theme,type,spatial_scale,region,time_slice,period,latitude,longitude,is_published,raw_data_available,DOI_paper,DOI_data,URL,Who
Dommain et al.,2020,"The Challenges of Reconstructing Tropical Biodiversity With Sedimentary Ancient DNA: A 2200-Year-Long Metagenomic Record From Bwindi Impenetrable Forest, Uganda","Dommain et al. 2020. The Challenges of Reconstructing Tropical Biodiversity With Sedimentary Ancient DNA: A 2200-Year-Long Metagenomic Record From Bwindi Impenetrable Forest, Uganda",,forest; aquatic; peat bog,,sedimentary eDNA,biodiversity,paleoecology,study_case,local,Africa,pre-colonial,last 2200 yrs-present,-1.03,29.69,Yes,Yes,10.3389/fevo.2020.00218,,,
Bremond et al. ,2017,Five thousand years of tropical lake sediment DNA records from Benin,Bremond et al. 2017. Five thousand years of tropical lake sediment DNA records from Benin,,forest; limnic,,sedimentary eDNA,biodiversity,paleoecology,study_case,local,Africa,pre-colonial, last 5000-present,7.16,2.44,Yes,Yes,10.1016/j.quascirev.2017.06.025,,,
Boessenkool et al. ,2014,Use of Ancient Sedimentary DNA as a Novel Conservation Tool for High-Altitude Tropical Biodiversity,Boessenkool et al. 2014. Use of Ancient Sedimentary DNA as a Novel Conservation Tool for High-Altitude Tropical Biodiversity,,montane forest; limnic,montane forest,sedimentary eDNA,biodiversity,paleoecology,study_case,local,Africa,pre-colonial,2790 BCE-1980 CE,-1.39,29.65,Yes,Yes,10.1111/cobi.12195,,,
Benito et al.,2019,Lake regionalization and diatom metacommunity structuring in tropical South America,Benito et al. Colombia lowland lakes,,tropical rainforest; lake,tropical rainforest,diatoms,climate; biodiversity,limnology,dataset,regional,Neotropics,modern,,5.85,-74.25,Yes,Yes,,https://doi.org/10.5061/dryad.6jk8h77,,Xavier Benito
Benito et al.,2019,Lake regionalization and diatom metacommunity structuring in tropical South America,Benito et al. Bolivia Pantanal,,tropical savanna; lake,tropical savanna,diatoms,climate; biodiversity,limnology,dataset,regional,Neotropics,modern,,-16.2,-60.47,Yes,Yes,,https://doi.org/10.5061/dryad.6jk8h77,,Xavier Benito
Benito et al.,2019,Lake regionalization and diatom metacommunity structuring in tropical South America,Benito et al. Peruvian Amazon,,Amazonian forest; lake,tropical rainforest,diatoms,climate; biodiversity,limnology,dataset,regional,Neotropics,modern,,-12.04,-71.2,Yes,Yes,,https://doi.org/10.5061/dryad.6jk8h77,,Xavier Benito
Benito et al.,2019,Lake regionalization and diatom metacommunity structuring in tropical South America,Benito et al. Bolivian Amazon,,Amazonian forest; lake,tropical rainforest,diatoms,climate; biodiversity,limnology,dataset,regional,Neotropics,modern,,-16.6,-65.15,Yes,Yes,,https://doi.org/10.5061/dryad.6jk8h77,,Xavier Benito
Whitney et al. ,2011,A 45kyr palaeoclimate record from the lowland interior of tropical South America,Whitney et al. 2011. A 45kyr palaeoclimate record from the lowland interior of tropical South America,,tropical savanna; lake,tropical savanna,multiproxy,climate,paleoecology,study_case,local,Neotropics,pre-human,42000 BP-present,-17.78,-57.72,Yes,No,10.1016/j.palaeo.2011.05.012,,,Xavier Benito
Brugger et al. ,2016,Long-term man–environment interactions in the Bolivian Amazon: 8000 years of vegetation dynamics,"Bolivia,riparian forest",,Amazonia forest; lake,tropical rainforest,pollen; macrofossils,fire; land use,paleoecology,study_case,regional,Neotropics,pre-colonial,8100 BP-present,-13,-65.99,Yes,Yes,10.1016/j.quascirev.2015.11.001,,,
Lawrence et al. ,2020,An open-source database for the synthesis of soil radiocarbon data: International Soil Radiocarbon Database (ISRaD) version 1.0,Soil radiocarbon ,,terrestrial ecosystems,,c14,NA,ecology,review,global,Global,modern,no date,,,Yes,Yes,https://essd.copernicus.org/articles/12/61/2020/,,https://soilradiocarbon.org/,
